,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
Alabama,374,475,492,543,563,635,687,746,785,796,856,967,1049,1144,1216,1260,1322,1382,1409,1505,1536,1642,1718,1893,1979,2118,2166,2208,2209,2221,2208,2347,2445,2582,2656,2603
Alaska,0,1,2,4,4,4,3,4,2,2,2,2,2,2,3,4,6,6,7,8,8,15,15,17,17,20,23,25,20,20,31,38,53,59,67,87
Arizona,15,15,15,21,26,31,37,34,42,39,42,53,74,85,113,115,125,135,143,137,147,156,160,170,168,183,194,185,185,181,197,201,202,221,238,245
Arkansas,240,351,354,428,506,565,625,602,663,636,668,750,834,897,968,980,1024,1101,1114,1199,1252,1356,1393,1477,1529,1604,1607,1685,1706,1739,1763,1831,1880,1932,1998,2037
California,433,444,467,506,576,592,630,683,731,763,771,814,836,889,912,947,972,987,999,1058,1098,1204,1283,1355,1394,1449,1488,1520,1543,1560,1604,1642,1659,1657,1666,1682
Colorado,73,75,90,94,110,132,145,167,188,212,236,265,293,351,393,438,487,506,506,490,498,557,609,676,682,708,706,673,703,699,719,743,743,751,751,754
Connecticut,392,393,397,400,403,415,428,436,435,444,442,440,444,453,454,460,459,464,466,470,478,479,484,495,497,501,504,506,506,510,513,515,511,510,470,453
Dakota,26,31,31,41,49,77,99,112,133,148,175,206,279,371,434,537,709,837,907,993,1032,1065,1080,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,77,86,87,89,96,98,102,101,101,102,104,106,107,111,113,117,119,123,124,131,135,143,149,157,157,163,162,168,169,169,169,172,177,176,167,139
District of Columbia,5,5,5,5,5,7,5,5,6,6,6,6,6,5,5,5,6,6,7,8,9,11,13,13,12,11,13,15,13,13,13,14,14,16,6,6
Florida,85,108,104,122,139,170,187,181,206,222,240,271,306,360,368,392,440,517,571,661,690,733,781,835,870,935,986,1012,1013,1023,1031,1092,1126,1140,1160,1161
Georgia,394,450,448,480,499,548,587,656,715,754,811,898,965,1068,1157,1235,1288,1343,1367,1488,1580,1676,1745,1878,1968,2111,2201,2300,2326,2380,2416,2573,2657,2764,2794,2649
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
