State,EV - C,EV - H,EV - W,TotalVote,C,H,W,Margin,%Margin,Cleveland,Harrison,Weaver,Bidwell,Other,Cleveland,Harrison,Weaver,Bidwell,Other
Alabama,11,0,0,232543,1,3,2,53151,0.2286,0.5940,0.0395,0.3655,0.0010,0.0000,138135,9184,84984,240,0
Arkansas,8,0,0,148117,1,2,3,40762,0.2752,0.5930,0.3178,0.0799,0.0008,0.0086,87834,47072,11831,113,1267
California,8,1,0,269609,1,2,3,147,0.0005,0.4383,0.4378,0.0939,0.0300,0.0000,118174,118027,25311,8096,1
Colorado,0,0,4,93891,0,2,1,14964,0.1594,0.0000,0.4113,0.5707,0.0180,0.0000,0,38620,53584,1687,0
Connecticut,6,0,0,164595,1,2,4,5363,0.0326,0.5006,0.4680,0.0049,0.0245,0.0020,82395,77032,809,4026,333
Delaware,3,0,0,37235,1,2,0,504,0.0135,0.4990,0.4855,0.0000,0.0151,0.0003,18581,18077,0,564,13
Florida,4,0,0,35471,1,0,2,25310,0.7135,0.8501,0.0000,0.1365,0.0134,0.0000,30153,0,4843,475,0
Georgia,13,0,0,223126,1,2,3,81038,0.3632,0.5801,0.2170,0.1880,0.0044,0.0105,129446,48408,41939,988,2345
Idaho,0,0,3,19407,0,2,1,1921,0.0990,0.0000,0.4431,0.5421,0.0148,0.0000,0,8599,10520,288,0
Illinois,24,0,0,873647,1,2,4,26993,0.0309,0.4879,0.4570,0.0254,0.0296,0.0000,426281,399288,22207,25871,0
Indiana,15,0,0,553613,1,2,3,7125,0.0129,0.4746,0.4617,0.0401,0.0236,0.0000,262740,255615,22208,13050,0
Iowa,0,13,0,443159,2,1,3,23428,0.0529,0.4431,0.4960,0.0465,0.0144,0.0000,196367,219795,20595,6402,0
Kansas,0,0,10,324905,0,2,1,5870,0.0181,0.0000,0.4840,0.5020,0.0140,0.0000,0,157241,163111,4553,0
Kentucky,13,0,0,340864,1,2,3,39999,0.1173,0.5148,0.3974,0.0689,0.0189,0.0000,175461,135462,23500,6441,0
Louisiana,8,0,0,114889,1,2,0,60963,0.5306,0.7653,0.2347,0.0000,0.0000,0.0000,87926,26963,0,0,0
Maine,0,6,0,116451,2,1,4,14887,0.1278,0.4126,0.5405,0.0206,0.0263,0.0000,48049,62936,2396,3066,4
Maryland,8,0,0,213275,1,2,4,21130,0.0991,0.5339,0.4348,0.0037,0.0276,0.0000,113866,92736,796,5877,0
Massachusetts,0,15,0,391028,2,1,4,26001,0.0665,0.4522,0.5187,0.0082,0.0193,0.0017,176813,202814,3210,7539,652
Michigan,5,9,0,466045,2,1,4,21084,0.0452,0.4326,0.4779,0.0428,0.0448,0.0020,201624,222708,19931,20857,925
Minnesota,0,9,0,267238,2,1,3,21903,0.0820,0.3776,0.4596,0.1097,0.0531,0.0000,100920,122823,29313,14182,0
Mississippi,9,0,0,52519,1,3,2,29912,0.5695,0.7622,0.0266,0.1927,0.0185,0.0000,40030,1398,10118,973,0
Missouri,17,0,0,541583,1,2,3,40754,0.0752,0.4956,0.4203,0.0761,0.0080,0.0000,268400,227646,41204,4333,0
Montana,0,3,0,44461,2,1,3,1181,0.0266,0.3979,0.4244,0.1650,0.0126,0.0000,17690,18871,7338,562,0
Nebraska,0,8,0,200192,3,1,2,4079,0.0204,0.1246,0.4356,0.4153,0.0245,0.0000,24943,87213,83134,4902,0
Nevada,0,0,3,10878,3,2,1,4453,0.4094,0.0656,0.2584,0.6678,0.0082,0.0000,714,2811,7264,89,0
New Hampshire,0,4,0,89329,2,1,4,3577,0.0400,0.4711,0.5111,0.0033,0.0145,0.0000,42081,45658,293,1297,0
New Jersey,10,0,0,337623,1,2,5,14965,0.0443,0.5067,0.4624,0.0029,0.0241,0.0040,171066,156101,985,8134,1337
New York,36,0,0,1336793,1,2,5,45518,0.0341,0.4899,0.4558,0.0123,0.0286,0.0134,654868,609350,16429,38190,17956
North Carolina,11,0,0,280270,1,2,3,32605,0.1163,0.4744,0.3580,0.1582,0.0094,0.0000,132951,100346,44336,2637,0
North Dakota,1,1,1,36118,0,2,1,181,0.0050,0.0000,0.4850,0.4901,0.0249,0.0000,0,17519,17700,899,0
Ohio,1,22,0,850164,2,1,4,1072,0.0013,0.4753,0.4766,0.0175,0.0306,0.0000,404115,405187,14850,26012,0
Oregon,0,3,1,78491,3,1,2,8037,0.1024,0.1815,0.4459,0.3435,0.0291,0.0000,14243,35002,26965,2281,0
Pennsylvania,0,32,0,1003010,2,1,4,63747,0.0636,0.4509,0.5145,0.0087,0.0250,0.0009,452264,516011,8714,25123,898
Rhode Island,0,4,0,53196,2,1,4,2639,0.0496,0.4575,0.5071,0.0043,0.0311,0.0001,24336,26975,228,1654,3
South Carolina,9,0,0,70504,1,2,3,41335,0.5863,0.7756,0.1893,0.0341,0.0000,0.0010,54680,13345,2407,0,72
South Dakota,0,4,0,70513,3,1,2,8344,0.1183,0.1288,0.4948,0.3764,0.0000,0.0000,9081,34888,26544,0,0
Tennessee,12,0,0,265732,1,2,3,35931,0.1352,0.5136,0.3783,0.0900,0.0181,0.0000,136468,100537,23918,4809,0
Texas,15,0,0,422145,1,3,2,139460,0.3304,0.5665,0.1922,0.2361,0.0051,0.0000,239148,81144,99688,2165,0
Vermont,0,4,0,55796,2,1,4,21667,0.3883,0.2926,0.6809,0.0008,0.0255,0.0002,16325,37992,44,1424,11
Virginia,12,0,0,292238,1,2,3,51038,0.1746,0.5617,0.3870,0.0420,0.0093,0.0000,164136,113098,12275,2729,0
Washington,0,4,0,87969,2,1,3,6658,0.0757,0.3388,0.4145,0.2179,0.0289,0.0000,29802,36460,19165,2542,0
West Virginia,6,0,0,171079,1,2,3,4175,0.0244,0.4937,0.4693,0.0244,0.0126,0.0000,84467,80292,4167,2153,0
Wisconsin,12,0,0,371581,1,2,4,6224,0.0168,0.4772,0.4605,0.0270,0.0354,0.0000,177325,171101,10019,13136,0
Wyoming,0,3,0,16735,0,1,2,732,0.0437,0.0000,0.5052,0.4614,0.0317,0.0017,0,8454,7722,530,29
Total,277,145,22,12068027,1,2,3,363099,0.0301,0.4602,0.4301,0.0851,0.0224,0.0021,5553898,5190799,1026595,270889,25846
