Year,Resignations,Removals,Deceased,Total Offices
1865,3575,925,229,28882
1866,4679,3843,217,29389
1867,4065,3444,215,25163
1868,4021,1194,267,26481
1869,3994,2691,230,27095
1870,4105,1449,293,28492
1871,4307,1179,309,30045
1872,4091,939,328,31863
1873,4802,945,386,33244
1874,5354,907,368,34294
1875,6017,974,380,35547
1876,5140,1045,333,36383
1877,4800,711,397,37345
1878,5117,748,338,39258
1879,5627,558,378,40852
1880,5951,546,336,42917
1881,6217,958,421,44512
1882,7346,1021,461,46231
1883,7734,705,468,47862
1884,7265,513,477,50017
1885,5673,713,412,51252
1886,9112,9566,587,53614
1887,6863,2584,589,55157
1888,6521,1244,659,57376
1889,8165,7700,510,58999
1890,8919,6569,673,62401
1891,7491,1429,658,64329
1892,7148,1205,801,67119
1893,9151,3661,597,68403
1894,10122,8996,769,69805
1895,7664,2114,769,70064
1896,7684,1341,839,70360
1897,7583,5244,762,71022
1898,9797,11175,920,73570
1899,7613,2926,915,75000
1900,8348,1947,964,76688
